b,g,r,pele
152,190,254,1
135,179,243,1
180,177,132,2
137,163,229,1
233,218,209,2
83,91,131,1
174,181,120,2
141,182,251,1
170,168,120,2
180,177,132,2
177,193,236,1
205,186,181,2
140,143,94,2
38,39,30,2
148,187,255,1
176,191,240,1
120,158,222,1
140,177,229,1
46,91,148,1
86,94,134,1
177,174,129,2
147,148,98,2
201,200,162,2
57,101,154,1
163,163,115,2
118,157,219,1
205,204,170,2
199,198,160,2
162,176,234,1
53,57,22,2
87,139,222,1
62,125,193,1
128,151,173,1
199,210,254,1
151,188,222,1
93,92,58,2
63,68,23,2
55,57,21,2
49,49,13,2
187,206,249,1
167,163,114,2
98,151,224,1
162,160,112,2
204,203,169,2
168,167,117,2
182,179,135,2
139,141,89,2
139,138,87,2
133,166,222,1
78,87,125,1
148,146,92,2
72,73,29,2
9,9,9,2
0,192,0,2
98,109,169,1
130,169,221,1
175,169,110,2
197,188,145,2
32,33,7,2
61,87,123,1
199,197,162,2
172,187,233,1
80,112,177,1
37,4,0,2
49,99,157,1
76,84,124,1
15,14,0,2
96,164,255,2
116,117,67,2
4,5,0,2
123,158,222,1
173,173,125,2
108,146,210,1
175,173,125,2
83,91,131,1
129,159,216,1
166,184,231,1
102,103,53,2
188,187,143,2
146,147,97,2
161,162,112,2
141,140,82,2
105,104,46,2
117,156,208,1
172,171,121,2
63,68,23,2
167,180,236,1
147,190,253,1
42,88,69,2
115,151,215,1
16,14,3,2
73,83,123,1
117,150,219,1
255,0,255,2
87,86,60,2
166,88,149,2
46,67,112,1
14,10,9,2
0,17,135,2
167,165,111,2
51,93,136,1
168,165,120,2
51,53,17,2
37,33,4,2
186,185,141,2
60,64,23,2
51,53,17,2
69,70,26,2
154,172,235,1
96,138,213,1
36,84,148,1
131,170,222,1
47,68,130,1
169,170,120,2
148,186,250,1
181,178,134,2
104,148,225,1
30,31,22,2
117,121,172,1
62,96,155,1
229,215,85,2
170,168,120,2
77,81,32,2
120,153,222,1
199,198,160,2
79,121,174,1
143,141,87,2
140,180,245,1
57,116,188,1
51,104,161,1
202,201,163,2
181,182,138,2
169,170,128,2
157,194,255,1
95,99,152,1
136,139,89,2
205,204,170,2
112,150,215,1
178,178,132,2
47,74,130,1
150,188,252,1
158,193,227,1
6,7,0,2
172,188,241,1
146,186,238,1
51,123,187,1
65,125,185,1
122,157,221,1
99,117,154,1
202,200,165,2
168,168,120,2
120,153,222,1
87,92,60,2
127,127,127,2
36,1,141,2
166,178,232,1
55,56,16,2
162,165,116,2
149,165,231,1
120,156,220,1
112,153,198,1
204,203,169,2
150,162,120,2
188,187,143,2
36,34,23,2
143,160,217,1
164,163,113,2
37,38,4,2
136,170,224,1
125,152,209,1
60,111,174,1
77,87,127,1
90,85,146,2
176,174,126,2
125,163,217,1
177,178,106,2
152,190,254,1
146,185,253,1
200,198,163,2
178,175,131,2
172,168,119,2
61,125,190,1
35,92,144,1
145,182,226,1
161,165,130,2
96,145,221,1
53,54,20,2
113,146,215,1
48,89,138,1
71,84,130,1
153,193,255,1
137,139,93,2
199,197,163,2
56,73,136,1
48,103,154,1
43,97,152,1
51,46,239,2
179,179,133,2
151,148,97,2
186,194,207,2
2,0,0,2
152,173,21,2
57,91,145,1
105,152,226,1
130,132,90,2
160,171,229,1
160,156,168,2
99,146,220,1
8,15,2,2
174,172,124,2
136,143,92,2
202,200,165,2
177,174,119,2
207,215,255,1
51,105,166,1
117,159,212,1
114,113,55,2
125,127,181,1
164,162,114,2
190,190,150,2
170,83,169,2
232,221,213,2
192,190,160,2
53,55,13,2
187,195,248,1
159,160,120,2
197,196,158,2
51,102,165,1
133,134,190,1
194,194,154,2
177,174,129,2
197,198,159,2
146,186,235,1
200,195,162,2
168,142,96,2
60,95,145,1
161,164,115,2
116,115,57,2
0,2,200,2
39,86,138,1
56,58,22,2
53,70,66,2
197,195,161,2
48,46,11,2
201,200,162,2
49,99,151,1
177,175,127,2
2,255,252,2
176,194,241,1
156,190,250,1
182,179,135,2
166,165,114,2
60,121,189,1
167,163,114,2
145,169,229,1
110,153,216,1
56,104,170,1
136,133,249,2
96,143,199,1
166,167,128,2
58,105,157,1
97,130,193,1
164,163,113,2
57,112,169,1
186,189,194,2
192,193,149,2
170,169,119,2
204,205,166,2
84,93,137,1
13,12,2,2
139,144,99,2
174,173,123,2
150,188,252,1
21,15,2,2
64,95,148,1
199,197,162,2
50,91,136,1
50,107,152,1
136,134,80,2
170,168,120,2
221,210,202,2
178,172,127,2
199,197,162,2
177,174,129,2
164,166,130,2
60,123,191,1
4,3,0,2
97,118,150,1
195,193,152,2
173,177,128,2
122,160,214,1
50,53,38,2
64,120,175,1
50,52,23,2
176,175,131,2
92,139,220,1
53,115,185,1
96,134,192,1
140,138,84,2
145,169,235,1
127,168,223,1
172,173,131,2
43,90,146,1
146,144,86,2
48,89,134,1
182,179,135,2
51,93,140,1
118,151,220,1
45,49,30,2
61,120,182,1
201,200,162,2
65,66,24,2
145,143,89,2
171,170,119,2
180,178,137,2
63,64,20,2
128,159,228,1
68,69,27,2
167,184,235,1
125,157,223,1
93,90,69,2
94,29,15,2
140,164,230,1
3,1,0,2
157,161,126,2
178,175,131,2
128,131,85,2
45,97,143,1
82,81,37,2
134,178,242,1
75,90,129,1
54,58,17,2
130,168,222,1
55,56,22,2
179,179,131,2
131,163,228,1
136,136,244,2
163,162,112,2
99,122,154,1
172,168,119,2
127,161,215,1
167,185,232,1
139,166,230,1
201,199,164,2
54,55,21,2
45,69,129,1
127,167,220,1
138,173,223,1
60,60,24,2
112,153,216,1
179,177,129,2
136,159,20,2
168,169,127,2
89,143,220,1
138,139,89,2
176,174,126,2
87,134,215,1
132,136,94,2
178,176,128,2
94,143,223,1
55,53,18,2
80,117,191,1
135,173,231,1
50,51,17,2
38,84,65,2
198,196,161,2
57,111,166,1
197,195,160,2
172,187,233,1
59,62,23,2
132,174,221,1
162,165,120,2
56,58,22,2
104,146,213,1
204,214,254,1
55,56,22,2
47,66,127,1
149,170,24,2
170,186,239,1
175,173,125,2
117,149,215,1
204,203,169,2
149,187,252,1
152,190,254,1
255,255,255,2
134,134,188,1
42,92,150,1
112,111,55,2
118,155,215,1
111,152,215,1
50,50,14,2
32,33,7,2
255,128,0,2
91,97,150,1
15,15,0,2
104,141,199,1
146,148,96,2
172,171,120,2
153,173,228,1
108,153,210,1
198,197,159,2
232,211,209,2
59,99,151,1
56,112,171,1
178,175,130,2
134,162,226,1
105,136,205,1
179,179,131,2
62,62,22,2
53,53,17,2
123,162,214,1
112,115,60,2
181,181,133,2
95,137,196,1
0,4,83,2
178,178,132,2
189,188,154,2
88,116,187,1
52,54,18,2
46,102,151,1
134,137,88,2
148,187,255,1
153,157,121,2
120,119,61,2
156,175,232,1
201,200,162,2
160,163,108,2
148,146,92,2
53,53,17,2
16,14,3,2
95,137,214,1
15,14,0,2
171,169,121,2
12,7,9,2
96,94,40,2
167,182,228,1
87,117,188,1
113,76,180,2
177,175,127,2
125,136,144,2
76,89,127,1
105,157,227,1
199,197,162,2
180,169,131,2
164,162,114,2
153,171,232,1
97,150,223,1
145,185,250,1
11,9,1,2
64,65,21,2
19,18,4,2
51,68,125,1
199,197,163,2
146,189,252,1
53,57,22,2
177,193,239,1
180,176,127,2
147,149,97,2
116,183,116,2
144,146,94,2
136,138,92,2
197,195,160,2
65,84,45,2
0,0,176,2
77,84,47,2
141,41,147,2
95,139,216,1
156,193,255,1
117,74,171,2
45,151,44,2
43,66,44,2
15,6,186,2
148,149,99,2
88,124,194,1
93,142,222,1
229,211,204,2
138,163,227,1
145,183,255,1
153,165,231,1
181,178,133,2
157,161,125,2
41,45,10,2
109,146,214,1
28,31,15,2
179,179,131,2
59,94,144,1
8,9,5,2
99,136,188,1
145,159,225,1
199,197,162,2
57,59,23,2
2,3,0,2
170,173,128,2
53,107,160,1
44,93,149,1
30,31,5,2
145,144,86,2
178,176,128,2
128,130,88,2
160,196,255,1
126,161,224,1
174,188,236,1
52,56,21,2
126,166,225,1
157,195,253,1
47,63,122,1
75,81,126,1
183,183,137,2
140,180,252,1
53,96,145,1
45,22,154,2
83,89,130,1
24,49,21,2
94,89,151,2
51,107,154,1
101,98,43,2
20,18,0,2
81,122,191,1
172,187,236,1
182,179,135,2
143,181,229,1
162,160,112,2
104,102,44,2
98,153,222,1
56,57,23,2
158,162,120,2
159,196,254,1
69,67,49,2
159,162,123,2
171,170,120,2
31,81,63,2
191,190,152,2
171,187,234,1
182,179,135,2
167,179,233,1
97,146,222,1
164,163,112,2
45,101,148,1
70,74,32,2
133,159,226,1
55,55,25,2
178,175,131,2
71,73,27,2
112,146,205,1
184,181,136,2
92,139,220,1
146,145,89,2
145,143,89,2
198,195,164,2
158,159,125,2
120,154,220,1
77,85,125,1
150,187,255,1
59,58,44,2
71,124,181,1
35,34,8,2
58,126,191,1
135,143,90,2
122,125,180,1
196,194,163,2
53,101,149,1
146,147,97,2
23,24,14,2
151,192,255,1
103,140,198,1
167,181,234,1
107,228,248,2
72,85,123,1
172,172,126,2
50,45,236,2
175,176,134,2
118,118,70,2
101,142,211,1
53,94,143,1
168,169,179,2
127,166,218,1
174,171,127,2
155,183,230,1
196,195,157,2
170,1749,125,2
157,191,234,1
149,190,253,1
166,162,114,2
150,188,252,1
133,139,90,2
123,159,219,1
143,164,226,1
174,172,124,2
92,96,147,1
52,72,130,1
178,175,131,2
70,71,31,2
149,166,229,1
74,82,122,1
198,197,159,2
124,148,206,1
122,161,213,1
151,114,94,2
136,136,190,1
111,148,216,1
109,151,220,1
157,173,226,1
198,198,162,2
96,145,221,1
93,133,205,1
198,197,159,2
62,120,179,1
59,63,22,2
187,189,183,2
56,58,36,2
131,157,223,1
165,162,111,2
95,140,221,1
4,2,185,2
128,159,228,1
158,162,127,2
140,173,229,1
140,162,227,1
55,58,19,2
198,197,163,2
56,118,189,1
57,106,152,1
140,140,86,2
133,173,226,1
108,147,215,1
42,39,11,2
135,177,224,1
105,143,207,1
18,15,11,2
114,58,187,2
183,179,138,2
169,166,121,2
6,3,0,2
148,190,255,1
178,179,137,2
200,198,163,2
23,84,70,2
100,147,221,1
79,38,250,2
185,182,137,2
199,198,164,2
41,87,141,1
112,162,215,1
204,203,169,2
201,210,253,1
130,168,222,1
145,163,228,1
96,147,220,1
183,181,133,2
11,9,1,2
70,80,120,1
154,157,108,2
151,191,255,1
128,127,69,2
151,229,236,2
149,150,100,2
136,139,90,2
56,107,169,1
177,176,132,2
193,193,153,2
130,169,221,1
67,68,24,2
166,164,110,2
161,179,238,1
142,181,225,1
105,103,49,2
168,202,255,1
198,209,253,1
58,99,148,1
142,158,217,1
94,76,59,2
53,105,165,1
56,74,135,1
57,59,23,2
180,178,137,2
163,191,255,1
72,135,203,1
122,159,217,1
65,67,47,2
63,88,132,1
29,208,247,2
131,167,221,1
130,83,91,2
44,97,154,1
15,15,3,2
48,90,135,1
53,57,16,2
220,216,198,2
104,144,202,1
73,105,178,1
145,185,250,1
75,91,138,1
171,170,119,2
55,94,149,1
133,159,226,1
112,229,250,2
129,130,186,1
158,196,254,1
139,140,90,2
165,179,232,1
166,165,115,2
40,40,10,2
198,196,161,2
120,150,209,1
167,165,111,2
15,15,9,2
105,152,226,1
56,130,202,1
109,141,207,1
140,179,253,1
141,174,223,1
122,161,213,1
131,163,229,1
162,176,234,1
56,108,155,1
174,172,124,2
43,99,146,1
176,176,128,2
139,165,231,1
169,191,239,1
61,62,22,2
140,139,83,2
52,106,166,1
195,194,156,2
3,31,8,2
179,177,129,2
35,34,24,2
199,197,162,2
46,100,155,1
121,158,220,1
23,23,17,2
164,163,112,2
146,183,245,1
82,86,91,2
199,198,160,2
141,143,91,2
143,184,253,1
62,62,22,2
118,159,221,1
83,133,223,1
74,129,186,1
4,4,0,2
84,135,208,1
53,110,161,1
156,196,254,1
137,161,221,1
142,181,226,1
177,175,127,2
180,179,158,2
175,172,127,2
45,90,141,1
126,157,226,1
199,197,162,2
177,175,127,2
143,142,84,2
183,184,144,2
109,115,168,1
133,131,83,2
68,129,195,1
255,128,0,2
43,40,9,2
166,165,115,2
82,90,130,1
144,178,224,1
83,83,35,2
3,0,161,2
142,179,253,1
135,160,216,1
181,178,134,2
184,185,143,2
149,187,252,1
146,179,228,1
247,230,227,2
64,93,137,1
117,159,226,1
55,29,219,2
78,89,127,1
40,0,144,2
176,169,130,2
206,205,171,2
182,175,132,2
45,100,151,1
179,177,129,2
3,1,1,2
91,136,227,1
128,129,95,2
53,105,165,1
117,121,172,1
52,105,156,1
124,157,226,1
206,216,255,1
62,121,183,1
5,7,1,2
201,200,162,2
102,143,205,1
133,170,228,1
255,82,251,2
151,189,253,1
138,140,104,2
181,181,133,2
185,184,140,2
178,176,128,2
158,161,122,2
178,175,131,2
20,21,11,2
2,0,0,2
1,184,2,2
134,168,221,1
95,148,221,1
119,122,177,1
144,164,229,1
101,130,187,1
69,65,24,2
125,118,121,2
68,75,38,2
159,173,225,1
114,120,173,1
99,141,218,1
139,130,250,2
50,50,50,2
58,119,187,1
126,164,218,1
82,118,188,1
149,185,233,1
94,140,218,1
57,105,157,1
178,178,132,2
178,175,131,2
70,105,169,1
229,210,205,2
192,207,255,1
121,151,222,1
117,152,225,1
136,170,224,1
15,24,141,2
73,75,29,2
181,178,133,2
132,163,216,1
109,108,52,2
176,174,126,2
134,169,219,1
151,149,131,2
143,140,89,2
104,137,200,1
156,177,239,1
178,193,242,1
154,159,120,2
114,157,208,1
43,70,54,2
121,124,179,1
59,108,170,1
130,131,87,2
99,153,224,1
181,180,136,2
137,175,223,1
162,187,237,1
82,85,30,2
179,195,237,1
42,93,143,1
68,70,28,2
130,131,91,2
146,162,229,1
64,125,189,1
151,198,252,1
105,140,203,1
78,154,122,2
156,175,220,1
52,53,19,2
127,158,227,1
93,77,54,2
121,163,216,1
179,176,132,2
140,168,233,1
130,92,80,2
172,181,130,2
90,96,149,1
48,98,156,1
201,200,162,2
87,187,242,2
52,93,142,1
151,152,102,2
10,9,11,2
173,174,130,2
101,133,186,1
155,161,226,1
35,90,141,1
102,118,177,1
58,103,154,1
78,88,128,1
151,162,230,1
64,58,17,2
61,114,171,1
23,62,40,2
178,175,130,2
74,86,126,1
181,178,133,2
181,178,134,2
103,109,162,1
68,70,24,2
204,214,254,1
157,194,250,1
133,173,225,1
174,172,124,2
180,180,134,2
199,197,162,2
15,14,0,2
0,0,255,2
167,166,110,2
57,59,23,2
47,99,145,1
49,96,148,1
179,178,134,2
144,159,215,1
66,118,178,1
196,194,160,2
102,140,204,1
119,122,177,1
198,198,158,2
172,171,121,2
173,171,123,2
201,200,162,2
158,162,127,2
101,147,224,1
22,20,12,2
155,176,237,1
119,151,210,1
123,157,227,1
60,61,19,2
106,112,165,1
100,105,154,1
149,191,250,1
175,172,128,2
202,201,163,2
199,197,162,2
62,63,24,2
71,73,27,2
54,54,18,2
15,13,2,2
157,192,232,1
176,176,136,2
171,172,128,2
80,113,186,1
151,189,253,1
63,124,188,1
99,17,5,2
34,164,39,2
170,183,129,2
200,197,166,2
178,175,130,2
165,166,132,2
173,174,132,2
187,188,144,2
171,169,138,2
155,158,109,2
45,96,152,1
93,137,208,1
100,143,216,1
113,117,170,1
199,197,162,2
140,177,229,1
81,87,128,1
58,53,32,2
50,25,193,2
104,110,51,2
141,150,213,1
51,53,17,2
144,183,252,1
155,190,230,1
155,157,111,2
87,87,39,2
82,116,182,1
14,13,9,2
185,186,144,2
134,167,216,1
59,116,172,1
71,74,25,2
53,102,148,1
143,183,255,1
46,46,236,2
58,116,175,1
161,164,125,2
188,187,153,2
199,197,163,2
58,80,146,1
62,64,22,2
177,176,126,2
48,106,255,2
166,165,121,2
98,139,202,1
167,163,114,2
91,30,28,2
138,163,227,1
96,185,236,2
96,127,188,1
135,137,101,2
127,132,93,2
185,183,135,2
149,151,99,2
201,199,164,2
76,79,30,2
16,15,11,2
198,196,162,2
108,140,215,1
130,85,82,2
59,76,132,1
96,102,155,1
181,178,134,2
144,184,242,1
74,77,28,2
132,159,209,1
124,156,222,1
160,196,255,1
18,15,0,2
157,167,231,1
48,109,173,1
54,58,22,2
182,179,135,2
158,156,138,2
138,139,89,2
179,176,131,2
73,89,126,1
8,11,9,2
171,170,120,2
120,151,220,1
165,164,114,2
103,139,209,1
130,161,230,1
74,132,197,1
143,183,248,1
115,149,219,1
206,218,254,1
113,145,211,1
98,101,62,2
192,190,150,2
130,133,94,2
50,52,16,2
143,178,218,1
134,159,223,1
223,208,199,2
77,88,132,1
172,170,122,2
77,85,125,1
99,148,222,1
131,125,80,2
80,76,51,2
178,175,131,2
167,177,124,2
116,115,57,2
53,95,142,1
200,199,161,2
6,5,1,2
201,211,251,1
57,119,183,1
157,158,114,2
74,80,63,2
130,82,64,2
193,209,252,1
89,47,255,2
146,147,97,2
43,96,153,1
130,170,222,1
151,189,254,1
33,122,102,2
201,200,162,2
182,198,245,1
139,165,231,1
164,162,108,2
98,131,200,1
151,189,253,1
205,204,170,2
145,180,224,1
106,105,47,2
0,255,248,2
166,183,234,1
178,175,131,2
2,0,0,2
131,167,221,1
43,42,8,2
165,176,226,1
141,181,246,1
108,109,107,2
119,156,214,1
172,188,231,1
166,180,233,1
204,214,254,1
137,146,213,1
192,191,153,2
182,180,132,2
151,150,99,2
122,94,70,2
168,170,234,1
178,175,131,2
55,60,21,2
152,176,236,1
39,38,12,2
177,175,127,2
179,177,129,2
129,162,231,1
150,166,232,1
181,153,136,2
74,77,28,2
128,174,222,1
85,88,33,2
138,178,243,1
91,90,39,2
53,120,181,1
161,165,130,2
111,150,212,1
132,171,223,1
166,165,121,2
148,151,101,2
198,196,156,2
175,142,97,2
181,178,133,2
182,179,128,2
102,149,223,1
118,147,222,1
117,129,187,1
84,43,255,2
54,55,46,2
178,175,130,2
41,92,155,1
171,162,148,2
122,125,180,1
51,41,237,2
99,150,223,1
137,148,206,1
155,194,255,1
176,174,126,2
45,105,159,1
147,188,233,1
203,165,57,2
109,108,50,2
190,191,149,2
33,34,8,2
27,158,207,2
12,11,7,2
128,129,85,2
49,99,151,1
112,115,65,2
181,178,134,2
4,0,183,2
177,91,139,2
84,83,147,2
80,77,26,2
175,174,124,2
148,157,221,1
16,10,5,2
192,189,145,2
189,183,140,2
134,168,221,1
55,96,145,1
207,218,255,1
50,52,16,2
128,127,89,2
187,173,131,2
179,173,132,2
110,113,64,2
0,117,250,2
12,8,0,2
97,211,187,2
107,145,209,1
145,144,88,2
149,186,254,1
164,163,113,2
149,187,251,1
106,153,227,1
112,115,66,2
20,16,0,2
145,179,225,1
164,163,113,2
53,53,17,2
201,200,162,2
32,33,7,2
65,67,25,2
215,217,218,2
161,96,75,2
50,115,183,1
173,189,236,1
76,78,36,2
84,90,131,1
68,121,178,1
0,14,234,2
60,123,184,1
111,116,171,1
199,197,162,2
121,157,227,1
134,135,93,2
253,133,91,2
82,90,130,1
136,147,155,2
168,166,112,2
78,79,35,2
176,175,125,2
143,187,250,1
157,161,126,2
55,56,22,2
178,175,131,2
148,185,241,1
132,171,223,1
94,143,217,1
137,146,213,1
201,199,159,2
180,179,135,2
202,201,163,2
174,188,237,1
176,174,126,2
157,191,234,1
57,58,18,2
140,139,88,2
111,148,210,1
115,118,173,1
119,159,212,1
49,121,185,1
60,121,183,1
198,209,253,1
75,78,46,2
106,144,202,1
179,176,132,2
168,182,235,1
177,176,132,2
123,155,220,1
15,13,2,2
15,15,0,2
176,174,126,2
74,93,144,1
171,186,232,1
149,121,104,2
27,26,6,2
113,156,213,1
87,108,146,1
126,129,184,1
145,161,228,1
140,163,231,1
0,197,0,2
51,93,138,1
96,133,191,1
157,194,254,1
56,78,213,2
103,153,225,1
180,177,132,2
172,170,122,2
89,87,33,2
171,187,233,1
64,62,22,2
179,176,131,2
177,177,131,2
79,87,124,1
157,159,123,2
180,178,137,2
50,53,27,2
55,108,171,1
177,175,127,2
21,19,1,2
181,179,138,2
129,169,222,1
130,169,221,1
81,125,186,1
175,173,125,2
166,167,128,2
143,165,230,1
155,193,255,1
184,183,133,2
178,176,128,2
31,32,6,2
168,200,255,1
169,164,115,2
185,185,139,2
148,149,99,2
36,37,35,2
177,178,134,2
50,49,242,2
55,55,25,2
179,177,129,2
58,118,184,1
178,194,237,1
64,66,24,2
161,160,110,2
124,126,180,1
72,72,24,2
169,170,128,2
113,151,209,1
201,199,164,2
121,154,217,1
116,154,218,1
194,193,155,2
151,182,245,1
86,139,220,1
176,175,131,2
54,101,145,1
53,106,163,1
71,73,27,2
174,170,121,2
107,110,61,2
197,158,114,2
168,165,114,2
101,140,208,1
180,77,104,2
124,171,227,1
164,178,227,1
89,141,218,1
177,175,127,2
78,85,128,1
158,164,229,1
53,124,127,2
181,178,133,2
142,166,232,1
154,192,255,1
155,166,228,1
177,176,132,2
35,37,7,2
67,114,166,1
182,179,134,2
180,177,132,2
133,159,229,1
129,141,145,2
93,135,202,1
182,178,137,2
15,14,0,2
250,254,255,2
53,55,13,2
145,94,74,2
62,123,191,1
60,109,171,1
50,251,240,2
62,129,198,1
162,160,112,2
148,186,234,1
100,101,69,2
71,106,170,1
238,198,163,2
140,185,252,1
171,170,120,2
202,212,252,1
50,106,155,1
47,93,140,1
140,140,86,2
253,252,255,2
54,112,171,1
137,168,221,1
59,120,188,1
127,162,226,1
124,160,214,1
70,115,182,1
127,165,219,1
220,223,231,2
119,118,60,2
56,55,41,2
205,203,173,2
2,1,0,2
134,138,89,2
38,93,138,1
146,199,142,2
16,13,0,2
190,190,150,2
83,36,246,2
54,56,26,2
33,33,3,2
0,0,1,2
255,0,128,2
164,165,133,2
177,174,129,2
64,82,145,1
121,156,220,1
105,154,224,1
181,179,138,2
0,255,255,2
135,141,92,2
181,178,134,2
145,163,226,1
17,14,0,2
62,118,177,1
36,89,140,1
94,143,217,1
181,178,133,2
171,178,233,1
157,176,233,1
124,121,130,2
3,2,0,2
155,156,112,2
182,182,142,2
175,191,234,1
49,46,32,2
53,52,14,2
151,161,225,1
132,173,222,1
186,185,141,2
24,170,200,2
53,53,17,2
166,128,32,2
54,54,18,2
89,97,150,1
196,197,155,2
76,115,193,1
122,125,180,1
226,157,88,2
49,104,165,1
197,195,171,2
53,105,165,1
54,116,176,1
129,130,186,1
95,141,219,1
186,186,140,2
168,182,235,1
32,32,2,2
109,100,103,2
78,81,32,2
59,127,192,1
143,185,244,1
0,1,1,2
67,68,26,2
109,143,203,1
198,198,158,2
136,139,90,2
46,94,152,1
140,140,194,1
170,182,224,1
233,189,152,2
57,56,46,2
95,72,56,2
39,58,33,2
74,76,54,2
193,190,146,2
136,139,90,2
106,145,214,1
155,157,111,2
179,177,129,2
189,190,148,2
184,183,139,2
118,155,211,1
124,164,216,1
22,31,142,2
71,73,27,2
201,200,162,2
111,120,177,1
201,211,251,1
193,202,246,1
242,246,251,2
162,160,106,2
8,169,197,2
180,177,132,2
137,134,79,2
39,160,80,2
139,141,89,2
145,160,223,1
150,150,102,2
0,0,187,2
156,159,120,2
192,190,142,2
33,216,255,2
102,150,222,1
172,170,122,2
170,185,231,1
155,157,111,2
52,53,19,2
201,199,164,2
84,112,142,1
63,127,198,1
158,162,126,2
75,110,176,1
201,200,162,2
68,85,124,1
184,185,141,2
169,182,234,1
118,152,222,1
63,131,190,1
177,193,240,1
122,161,213,1
179,177,136,2
165,182,239,1
146,171,227,1
168,166,118,2
163,161,113,2
51,52,18,2
175,171,123,2
162,161,111,2
67,66,45,2
170,171,121,2
162,165,126,2
83,91,131,1
102,139,191,1
255,255,248,2
999,143,220,1
51,92,141,1
148,190,255,1
184,185,141,2
148,166,231,1
118,155,215,1
122,153,222,1
123,194,128,2
99,150,223,1
178,178,132,2
127,167,220,1
57,118,182,1
69,55,26,2
185,184,140,2
150,144,199,1
56,96,148,1
165,164,114,2
169,183,235,1
64,66,30,2
187,185,144,2
174,172,124,2
185,183,135,2
204,211,254,1
198,197,159,2
176,175,125,2
52,54,18,2
194,194,148,2
136,171,227,1
118,121,176,1
110,114,167,1
121,122,72,2
182,180,132,2
62,62,62,2
3,19,156,2
185,184,140,2
61,122,196,1
164,163,113,2
179,186,203,2
175,172,127,2
92,91,40,2
90,137,218,1
111,143,216,1
7,6,2,2
124,159,227,1
163,197,255,1
103,140,198,1
126,180,240,1
59,103,157,1
159,162,113,2
148,150,104,2
61,113,173,1
150,183,228,1
180,176,127,2
99,147,219,1
205,204,170,2
163,194,239,1
138,143,92,2
79,80,30,2
5,7,1,2
134,175,224,1
168,169,119,2
31,34,32,2
167,166,115,2
171,187,229,1
135,140,89,2
78,84,129,1
198,197,163,2
166,182,229,1
157,156,106,2
225,219,220,2
198,196,161,2
61,65,24,2
138,159,227,1
127,168,217,1
69,70,26,2
83,118,182,1
174,176,140,2
68,70,28,2
50,77,133,1
124,121,160,2
142,139,88,2
118,153,219,1
42,46,148,2
60,117,179,1
96,132,202,1
60,60,20,2
92,96,147,1
182,179,135,2
90,137,219,1
138,144,97,2
96,124,189,1
157,161,125,2
164,163,113,2
62,117,174,1
173,171,130,2
133,84,4,2
204,203,169,2
171,187,234,1
174,142,101,2
110,148,212,1
78,86,126,1
129,160,229,1
201,200,162,2
146,147,97,2
183,181,133,2
133,177,241,1
181,178,133,2
74,80,125,1
171,187,234,1
144,143,92,2
99,147,219,1
55,56,22,2
181,178,134,2
174,172,124,2
122,155,211,1
169,187,234,1
138,176,234,1
134,130,95,2
173,170,125,2
170,168,120,2
98,147,215,1
176,190,243,1
135,169,215,1
115,114,56,2
61,123,193,1
180,180,134,2
134,159,223,1
123,166,217,1
182,183,141,2
126,166,218,1
144,139,118,2
52,53,19,2
59,127,194,1
178,175,131,2
164,178,227,1
130,164,217,1
129,132,87,2
82,91,129,1
79,87,127,1
94,143,217,1
95,136,191,1
176,176,130,2
125,127,81,2
10,7,3,2
183,180,136,2
50,114,178,1
204,216,252,1
95,99,152,1
167,166,116,2
225,210,87,2
178,178,132,2
53,56,24,2
143,133,103,2
164,163,113,2
236,219,79,2
201,198,160,2
99,150,220,1
148,158,222,1
46,98,158,1
181,181,133,2
144,161,224,1
169,185,232,1
159,157,103,2
173,140,101,2
79,86,129,1
59,23,237,2
167,183,236,1
181,177,136,2
126,157,226,1
120,120,60,2
53,94,143,1
60,61,17,2
54,55,15,2
197,198,156,2
53,57,22,2
188,188,148,2
39,96,147,1
128,163,219,1
80,87,126,1
126,157,226,1
138,139,89,2
141,144,95,2
236,198,163,2
240,119,80,2
179,190,240,1
183,180,136,2
166,182,228,1
173,172,122,2
170,189,226,1
112,111,53,2
199,197,162,2
154,185,124,2
148,186,250,1
176,175,125,2
155,193,255,1
78,86,126,1
208,217,255,1
136,136,190,1
7,5,4,2
143,181,253,1
164,162,114,2
151,189,253,1
98,144,221,1
155,195,254,1
201,200,162,2
7,5,5,2
198,198,158,2
56,61,22,2
133,172,227,1
140,141,91,2
71,126,193,1
139,138,82,2
174,172,124,2
136,169,219,1
109,139,164,1
162,165,110,2
99,136,186,1
162,166,131,2
122,156,222,1
141,181,246,1
164,165,115,2
178,175,130,2
103,206,201,2
199,197,163,2
121,161,213,1
179,177,129,2
192,190,149,2
53,85,134,1
237,197,162,2
118,142,170,1
82,91,129,1
172,192,240,1
55,56,22,2
60,106,170,1
188,188,142,2
97,147,223,1
39,39,9,2
197,197,157,2
50,104,159,1
60,60,20,2
173,141,98,2
140,176,224,1
53,54,20,2
16,15,11,2
178,176,128,2
95,141,219,1
1,251,255,2
180,179,135,2
140,176,224,1
68,70,24,2
101,119,232,2
52,54,18,2
43,87,141,1
183,183,137,2
68,70,24,2
178,175,131,2
62,108,162,1
180,178,130,2
181,178,134,2
18,153,37,2
173,172,121,2
181,182,140,2
54,55,21,2
61,110,172,1
204,214,254,1
191,190,156,2
